accession	taxid	
XM_020238554.1	4615	
XM_020225664.1	4615	
AF113953.2	4236	
AF072274.1	4236	
XM_016042349.1	326968	
XM_013834568.1	3708	
XM_013810000.1	3708	
XM_012915123.1	5866	
EU480675.1	3702	
EU480674.1	3702	
EU480673.1	3702	
EU480672.1	3702	
EU480671.1	3702	
EU480670.1	3702	
EU480669.1	3702	
EU480668.1	3702	
EU480667.1	3702	
EU480666.1	3702	
EU480665.1	59689	
EU480664.1	59689	
EU480663.1	59689	
EU480662.1	59689	
EU480661.1	59689	
EU480660.1	59689	
EU480659.1	59689	
EU480658.1	59689	
EU480657.1	59689	
EU480656.1	59689	
EU480655.1	59689	
EU480654.1	59689	
EU480653.1	59689	
EU480652.1	59689	
EU480651.1	59689	
EU480650.1	59689	
EU480649.1	59689	
EU480647.1	59689	
EU480646.1	59689	
EU480645.1	59689	
EU480644.1	59689	
EU480642.1	59689	
EU480641.1	45249	
EU480640.1	45249	
EU480639.1	45249	
EU480638.1	45249	
EU480637.1	45249	
EU480636.1	38785	
EU480635.1	38785	
EU480634.1	38785	
EU480633.1	38785	
EU480631.1	38785	
EU480630.1	38785	
EU480629.1	38785	
EU480628.1	38785	
EU480627.1	38785	
EU480626.1	38785	
EU480625.1	38785	
EU480624.1	38785	
EU480623.1	38785	
EU480622.1	38785	
EU480621.1	38785	
EU480620.1	38785	
EU480619.1	38785	
EU480618.1	38785	
EU480617.1	38785	
EU480616.1	38785	
EU480615.1	38785	
EU480614.1	38785	
EU480613.1	38785	
EU480612.1	38785	
EU480611.1	38785	
EU480610.1	38785	
EU480609.1	38785	
EU480608.1	38785	
EU480607.1	38785	
EU480606.1	38785	
EU480605.1	38785	
EU480603.1	38785	
EU480602.1	38785	
EU480601.1	38785	
EU480600.1	38785	
EU480599.1	38785	
EU480598.1	38785	
EU480597.1	38785	
EU480596.1	38785	
EU480595.1	38785	
EU480594.1	38785	
EU480593.1	38785	
EU480592.1	38785	
EU480591.1	38785	
EU480590.1	38785	
EU480589.1	38785	
